Question,Answer,Predictive Answer
what book defined the official finnish language,the dictionary of contemporary finnish defined the official finnish language,the dictionary of contemporary finnish 
avogadro did not actually use what word,atom,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
what position is used to play the cello,a gamba,a polar bears skin 
is fifty percent or more of korean vocabulary of chinese origin,yes,yes 
is korean the official language of korea,yes,yes 
has it been created with a long term perspective to support the development of qatar and the wider region  develop local and regional markets  and strengthen the links between the energy based economies and global financial markets,yes,yes 
how many years ago was it when he discovered the phenomenon that he named diamagnetism  and what is now called the faraday effect,164,the federalist party 
how long does it take for the panda cubs skin to turn gray,one to two weeks after birth,one kind of gas obtained via a tracheal system 
is it true that he practiced law in fredericksburg,yes,yes 
did the family move to paris as well as there coulomb studied at the prestigious collge des quatrenations,yes,yes 
are termites actually more closely related to cockroaches as well as mantids,yes termites are actually more closely related to cockroaches as well as mantids,yes 
can a xylophone be 3 octaves,yes,yes 
how many species and genera does otter have,13 species and 7 genera,13 
is german written using the latin  alphabet,yes,yes 
was amedeo avogadro born in north america,no,no 
which spice originally attracted europeans to indonesia,nutmeg cloves and cubeb pepper,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
when did organized agriculture appear in the nile valley,6000 bc,about 6000 bc 
would a tiger be likely to feedon smaller animals such as mice,yes,yes 
was millard fillmore the thirteenth president of the united states,yes,yes 
when did charlesaugustin de coulomb retire to a small estate he possessed at blois,charlesaugustin de coulomb retired to a small estate he possessed at blois on the outbreak of the revolution in 1789,no 
is voltas legacy celebrated by a temple on the shore of lake como in the center of the town,yes,yes 
when was charlesaugustin de coulomb permanently stationed in paris,yes,yes 
are otters totem animals,yes,yes 
why did bequerel win the nobel prize in physics,discovery of spontaneous radioactivity,university of turin 
was he a child prodigy who was educated by his father a civil servant,yes,yes 
what is the world population of asian elephants,60000,the three heaviest cats in the world are the tiger lion and jaguar 
what religions has egypt outlawed,all religions and belief except islam christianity and judaism,all but christianity islam and judaism 
are the strings of a classical lyre made of gut,yes,yes 
is the adephaga suborder larger than the polyphaga suborder,yes,no 
what led pascal to his religious conversion,sickness and jansenism,two long tongue 
was wilson a member of the phi kappa psi fraternity,totallyt,yes 
which species of zebra is known as the common zebra,plains zebra,paris 
who were the midnight judges,they were judges formally appointed days before adams term expired,they are food to beetles 
was james cook the first to record the name kangooroo,yes,yes 
who was faradays wife,sarah barnard,felicita mazzé was avogadros wife 
did roosevelt receive a medal of honor,yes,yes 
is a polar bear white in color,yes,yes 
where is smoked eel considered a delicacy,northern germany the netherlands denmark sweden,northern europe 
what is a collective noun for kangaroos,mob troop or court,the slide down snowy slopes apparently for sheer enjoyment 
which embassy in nairobi was bombed in august 1998,the united states embassy,the largest primarily frenchspeaking 
was calvin coolidge the twentyninth vice president,yes,no 
did roosevelt study biology,yes,yes 
how much time to penguins spend on land,half of their life,they are food to beetles 
did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cutout design,yes,yes 
