Question,Answer,Predictive Answer
what is the faraday effect,the plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving,the faraday effect is the site michelangelo adjacent to the west coast of the united states states of the majapahit kingdom in the western territories taken from mexico mexicanamerican war 
older english sources used the name korean to refer to what,language country and people,is 
he became chief engineer in the department of bridges and highways in what year,in 1894,in 2007 michelangelo adjacent benito hugo 
what is someone who makes violins called,a luthier or simply a violin maker,a luthier 
what is the point called that is bolted or glued to the body of the guitar,neck joint or heel,neck joint 
are violins a single size,no,no 
how much is the average income of an african woman compared to a european man,african women earns 065  0718   4667 of a european man earns in average,african women 
about how many koreans speakers are there,78 million korean speakers,is 
did fillmore form a law partnership before or after he founded the private university of buffalo,before,law partnership founded before university of buffalo 
who referred to the cello as ï½basso de viola da braccio,monteverdi referred to the cello as basso de viola da braccio,monteverdi 
which county was lincoln born in,southeast hardin county kentucky,hardin county 
does a trumpet have a mellower tone than a cornet,no,in it is also used for its paws 
how many years ago did african people spread across 31 francophone african countries can speak french either as a first or second language,2 years ago,2 years water adjacent 59 hugo government 
where is henri becquerel from,paris,paris 
which guitars use three singlecoil pickups,fender stratocaster type guitars,park 
do linguists consider malay to be a single language,no,japanese twenties air heads michelangelo shells plebiscite 
is the violin cello a bowed string instrument,yes,yes 
what does a polar bears fur provide,it provides the animal with effective camouflage,a polar bears fur provides camouflage and insulation 
what was the name of james watts mother,agnes muirhead,agnus muirhead 
how do turtles reproduce,they lay eggs,they often called because most of them were formally appointed days before adams presidential term expired 
what are the two main varieties of indian flutes,the first the bansuri the second the venu or pullanguzhal,bansuri the tiger lion and jaguar 
what was the largest ever chelonian,archelon ischyros,the great letherback sea tutrtle 
who were the orkhon inscriptions built for,for the prince kul tigin and his brother emperor bilge khan,the orkhon inscriptions were erected in honour of the prince kul tigin and his brother emperor bilge khan 
what carried with it a tacit recognition of qatars status as distinct from bahrain,the british protectorate per colonel lewis pelly asking to negotiate with a representative from qatar after bahrains violation of the 1820 anglobahraini treaty,the british east india company 
is swahili spoken in mozambique,yes swahili is spoken in parts of northern mozambique,two 
does beijing mean northern capital,yes,yes 
how many species of true eels are there,approximately 800 species,13 
was wilson president of the american political science association in 1910,yes,yes 
what family is malay a member of,austronesian,brass tubing bent twice into an oblong shape 
what book defined the official finnish language,the dictionary of contemporary finnish defined the official finnish language,the dictionary of contemporary finnish defined the official finnish language 
avogadro did not actually use what word,atom,is 
what position is used to play the cello,a gamba,a new s09_settlement called lundenwic 
is fifty percent or more of korean vocabulary of chinese origin,yes,yes 
is korean the official language of korea,yes,yes 
has it been created with a long term perspective to support the development of qatar and the wider region  develop local and regional markets  and strengthen the links between the energy based economies and global financial markets,yes,adjacent dates 433 conserves energy 
how many years ago was it when he discovered the phenomenon that he named diamagnetism  and what is now called the faraday effect,164,is 
how long does it take for the panda cubs skin to turn gray,one to two weeks after birth,one to two weeks after birth 
is it true that he practiced law in fredericksburg,yes,wilson making 
did the family move to paris as well as there coulomb studied at the prestigious collge des quatrenations,yes,yes 
are termites actually more closely related to cockroaches as well as mantids,yes termites are actually more closely related to cockroaches as well as mantids,yes termites are actually more closely related to cockroaches as well as mantids smithsonian july 
